route_id,stop_name,year,delay_duration
Blue,Airport,2020,283428.0
Blue,Airport,2021,36345.0
Blue,Airport,2022,5729123.0
Blue,Airport,2023,83922.0
Blue,Aquarium,2020,1192.0
Blue,Aquarium,2021,15838.0
Blue,Aquarium,2022,5761312.0
Blue,Aquarium,2023,14913.0
Blue,Beachmont,2020,40886.0
Blue,Beachmont,2021,63281.0
Blue,Beachmont,2022,35056.0
Blue,Beachmont,2023,17627.0
Blue,Bowdoin,2020,596.0
Blue,Bowdoin,2021,7919.0
Blue,Bowdoin,2022,2862227.0
Blue,Bowdoin,2023,1060.0
Blue,Government Center,2020,1192.0
Blue,Government Center,2021,15838.0
Blue,Government Center,2022,5719643.0
Blue,Government Center,2023,9578.0
Blue,Maverick,2020,243942.0
Blue,Maverick,2021,39524.0
Blue,Maverick,2022,5719008.0
Blue,Maverick,2023,78203.0
Blue,Orient Heights,2020,45148.0
Blue,Orient Heights,2021,74219.0
Blue,Orient Heights,2022,55292.0
Blue,Orient Heights,2023,89316.0
Blue,Revere Beach,2020,40886.0
Blue,Revere Beach,2021,63281.0
Blue,Revere Beach,2022,35056.0
Blue,Revere Beach,2023,17627.0
Blue,State,2020,1192.0
Blue,State,2021,15838.0
Blue,State,2022,5721300.0
Blue,State,2023,9578.0
Blue,Suffolk Downs,2020,42078.0
Blue,Suffolk Downs,2021,63281.0
Blue,Suffolk Downs,2022,35385.0
Blue,Suffolk Downs,2023,86311.0
Blue,Wonderland,2020,19395.0
Blue,Wonderland,2021,32501.0
Blue,Wonderland,2022,15032.0
Blue,Wonderland,2023,7646.0
Blue,Wood Island,2020,42624.0
Blue,Wood Island,2021,18105.0
Blue,Wood Island,2022,36158.0
Blue,Wood Island,2023,83922.0
Green-B,Allston Street,2020,52915.0
Green-B,Allston Street,2021,139441.0
Green-B,Allston Street,2022,130633.0
Green-B,Allston Street,2023,331333.0
Green-B,Amory Street,2021,4814.0
Green-B,Amory Street,2022,70405.0
Green-B,Amory Street,2023,277813.0
Green-B,Arlington,2020,609152.0
